STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Y,Pnk,O,longitude,latitude
30273,N,Addison (Howard-bound),Addison,Addison (Red Line),41420,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65362,41.94742
30230,S,Argyle (95th-bound),Argyle,Argyle (Red Line),41200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65853,41.97345
30229,N,Argyle (Howard-bound),Argyle,Argyle (Red Line),41200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65853,41.97345
30127,N,Armitage (Kimball-Linden-bound),Armitage,Armitage (Brown & Purple lines),40660,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-87.65264,41.91821
30128,S,Armitage (Loop-bound),Armitage,Armitage (Brown & Purple lines),40660,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-87.65264,41.91821
30033,W,Ashland (Harlem-54th/Cermak-bound),Ashland,Ashland (Green & Pink lines),40170,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.66696,41.88526
30032,E,Ashland (Loop-63rd-bound),Ashland,Ashland (Green & Pink lines),40170,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.66696,41.88526
30206,S,Ashland (Midway-bound),Ashland,Ashland (Orange Line),41060,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-87.66531,41.83923
30205,N,Ashland (Loop-bound),Ashland,Ashland (Orange Line),41060,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-87.66531,41.83923
30057,W,Ashland/63rd (Terminal arrival),Ashland/63rd,Ashland/63rd (Green Line),40290,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.66376,41.77886
30056,E,Ashland/63rd (Harlem-bound),Ashland/63rd,Ashland/63rd (Green Line),40290,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.66376,41.77886
30002,W,Austin (Forest Pk-bound),Austin,Austin (Blue Line),40010,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.77681,41.87085
30001,E,Austin (O'Hare-bound),Austin,Austin (Blue Line),40010,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.77681,41.87085
30243,E,Austin (63rd-bound),Austin,Austin (Green Line),41260,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.77413,41.88729
30244,W,Austin (Harlem-bound),Austin,Austin (Green Line),41260,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.77413,41.88729
30012,N,Belmont (O'Hare Branch) (O'Hare-bound),Belmont,Belmont (Blue Line),40060,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.71235,41.93813
30258,S,Belmont (Loop-bound),Belmont,"Belmont (Red, Brown & Purple lines)",41320,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-87.65338,41.93975
30013,S,Belmont (O'Hare Branch) (Forest Pk-bound),Belmont,Belmont (Blue Line),40060,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.71235,41.93813
30256,S,Belmont (95th-bound),Belmont,"Belmont (Red, Brown & Purple lines)",41320,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65338,41.93975
30255,N,Belmont (Howard-bound),Belmont,"Belmont (Red, Brown & Purple lines)",41320,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65338,41.93975
30257,N,Belmont (Kimball-Linden-bound),Belmont,"Belmont (Red, Brown & Purple lines)",41320,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-87.65338,41.93975
30067,S,Berwyn (95th-bound),Berwyn,Berwyn (Red Line),40340,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65866,41.97798
30066,N,Berwyn (Howard-bound),Berwyn,Berwyn (Red Line),40340,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65866,41.97798
30268,S,Bryn Mawr (95th-bound),Bryn Mawr,Bryn Mawr (Red Line),41380,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65884,41.9835
30267,N,Bryn Mawr (Howard-bound),Bryn Mawr,Bryn Mawr (Red Line),41380,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65884,41.9835
30266,W,California (Harlem-bound),California,California (Green Line),41360,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.69623,41.88422
30111,N,California (O'Hare-bound),California,California (Blue Line),40570,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.69689,41.92193
30265,E,California (63rd-bound),California,California (Green Line),41360,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.69623,41.88422
30087,W,California (54th/Cermak-bound),California,California (Pink Line),40440,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.69477,41.8541
30112,S,California (Forest Pk-bound),California,California (Blue Line),40570,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.69689,41.92193
30086,E,California (Loop-bound),California,California (Pink Line),40440,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.69477,41.8541
30054,E,Central (63rd-bound),Central,Central (Green Line),40280,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.76565,41.88738
30055,W,Central (Harlem-bound),Central,Central (Green Line),40280,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.76565,41.88738
30241,N,Central (Linden-bound),Central,Central (Purple Line),41250,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-87.68561,42.06398
30242,S,Central (Howard-Loop-bound),Central,Central (Purple Line),41250,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-87.68561,42.06398
30152,W,Central Park (54th/Cermak-bound),Central Park,Central Park (Pink Line),40780,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.71484,41.85383
30151,E,Central Park (Loop-bound),Central Park,Central Park (Pink Line),40780,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.71484,41.85383
30193,N,Cermak-Chinatown (Howard-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),41000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.63096,41.8532
30194,S,Cermak-Chinatown (95th-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),41000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.63096,41.8532
30382,S,Cermak-McCormick Place (63rd-bound),Cermak-McCormick Place,Cermak-McCormick Place (Green Line),41690,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.6264,41.85311
30381,N,Cermak-McCormick Place (Harlem-bound),Cermak-McCormick Place,Cermak-McCormick Place (Green Line),41690,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.6264,41.85311
30280,S,Chicago (95th-bound),Chicago,Chicago (Red Line),41450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62817,41.89667
30138,S,Chicago (Loop-bound),Chicago,Chicago (Brown & Purple lines),40710,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-87.63592,41.89681
30272,S,Chicago (Forest Pk-bound),Chicago,Chicago (Blue Line),41410,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65521,41.89607
30271,N,Chicago (O'Hare-bound),Chicago,Chicago (Blue Line),41410,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65521,41.89607
30279,N,Chicago (Howard-bound),Chicago,Chicago (Red Line),41450,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.62817,41.89667
30137,N,Chicago (Kimball-Linden-bound),Chicago,Chicago (Brown & Purple lines),40710,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-87.63592,41.89681
30187,E,Cicero (O'Hare-bound),Cicero,Cicero (Blue Line),40970,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.74515,41.87157
