longitude,latitude,STOP_ID,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
-87.70202,41.72450,10036,KEDZIE,93RD STREET,SB,NS,52A,,EVERGREEN PARK,Kedzie & 93rd Street
-87.54720,41.65559,7320,BALTIMORE,132ND STREET,SB,NS,30,,CHICAGO,Baltimore & 132nd Street
-87.76724,41.95873,11526,CENTRAL,CULLOM,SB,NS,85,,CHICAGO,Central & Cullom
-87.71532,41.86088,11190,CENTRAL PARK,15TH STREET,SB,NS,82,,CHICAGO,Central Park & 15th Street
-87.62439,41.87627,73,MICHIGAN,betw. VAN BUREN & IDA B. WELLS,SB,MB,"1,3,4,7,J14,26,28,126,143,147",N4,CHICAGO,Michigan & Van Buren/Ida B. Wells
-87.71191,41.91559,11153,KIMBALL,CORTLAND,SB,NS,82,,CHICAGO,Kimball & Cortland
-87.67379,42.00786,1786,CLARK,MORSE,SB,NS,22,N22,CHICAGO,Clark & Morse
-87.62093,41.68917,15079,MICHIGAN,113TH STREET,NB,FS,"34,119",N34,CHICAGO,Michigan & 113th Street
-87.70436,41.82459,17452,KEDZIE,38TH STREET,NB,FS,52,,CHICAGO,Kedzie & 38th Street
-87.62559,41.79488,2309,STATE,GARFIELD,NB,FS,29,,CHICAGO,State & Garfield
-87.64374,41.74325,3674,HALSTED,83RD STREET,NB,NS,8A,,CHICAGO,Halsted & 83rd Street
-87.67582,41.85420,15199,DAMEN,PINK LINE STATION,NB,FS,"50, 755",,CHICAGO,Damen Pink Line Station
-87.67885,41.96134,8955,DAMEN,MONTROSE,NB,NS,50,,CHICAGO,Damen & Montrose
-87.71171,41.90633,11252,HOMAN,HIRSCH,NB,NS,82,,CHICAGO,Homan & Hirsch
-87.64134,41.83837,14839,WALLACE,31ST STREET,NB,FS,44,,CHICAGO,Wallace & 31st Street
-87.65344,41.74308,5045,RACINE,83RD STREET,NB,NS,44,,CHICAGO,Racine & 83rd Street
-87.55098,41.72266,7002,COMMERCIAL,95TH STREET,NB,NS,71,,CHICAGO,Commercial & 95th Street
-87.63754,41.78723,13055,59TH STREET,NORMAL,WB,NS,59,,CHICAGO,59th Street & Normal
-87.74578,41.91397,821,GRAND,CICERO,WB,NS,65,,CHICAGO,Grand & Cicero
-87.70224,41.74987,2679,79TH STREET,KEDZIE,WB,NS,"79,169",,CHICAGO,79th Street & Kedzie
-87.59287,41.80976,7138,47TH STREET,LAKE PARK,WB,FS,47,,CHICAGO,47th Street & Lake Park
-87.64867,41.92571,17487,HALSTED,LINCOLN/FULLERTON,NB,FS,8,,CHICAGO,Halsted & Lincoln/Fullerton
-87.67608,41.85774,8884,DAMEN,18TH STREET,SB,NS,50,,CHICAGO,Damen & 18th Street
-87.65477,41.78703,5172,RACINE,59TH STREET,SB,NS,44,,CHICAGO,Racine & 59th Street
-87.69982,42.01197,12042,TOUHY,CALIFORNIA,EB,NS,96,,CHICAGO,Touhy & California
-87.68836,41.96663,1375,LELAND,WESTERN,EB,FS,"11,49B",N49,CHICAGO,Leland & Western (Brown Line)
-87.72153,41.90264,1992,DIVISION,HAMLIN,EB,NS,70,,CHICAGO,Division & Hamlin
-87.65191,41.88165,14647,MADISON,MORGAN,EB,FS,20,N20,CHICAGO,Madison & Morgan
-87.66617,42.01919,1011,HOWARD,SHERIDAN,EB,NS,147,0,CHICAGO,Howard & Sheridan
-87.72780,41.96817,18106,LAWRENCE,PULASKI,EB,FS,81,N81,CHICAGO,Lawrence & Pulaski
-87.70822,41.79338,10509,55TH STREET,HOMAN,EB,FS,55,N55,CHICAGO,55th Street & Homan
-87.63190,41.77987,3429,63RD STREET,YALE,EB,NS,63,N63,CHICAGO,63rd Street & Yale
-87.71304,41.96833,3746,LAWRENCE,KIMBALL,EB,FS,81,N81,CHICAGO,Lawrence & Kimball (Brown Line)
-87.64861,41.75050,15330,79TH STREET,MORGAN,EB,FS,79,N79,CHICAGO,79th Street & Morgan
-87.70577,41.87725,30,JACKSON,KEDZIE,EB,FS,126,,CHICAGO,Jackson & Kedzie
-87.71953,41.83688,7447,31ST STREET,HAMLIN,EB,NS,"35,82",,CHICAGO,31st Street & Hamlin
-87.64085,41.82345,15367,PERSHING,WALLACE,EB,FS,39,,CHICAGO,Pershing & Wallace
-87.66359,41.76849,15974,69TH STREET,ASHLAND,EB,FS,67,,CHICAGO,69th Street & Ashland
-87.57567,41.72253,12105,95TH STREET,JEFFERY,WB,FS,100,,CHICAGO,95th Street & Jeffery
-87.65183,41.88176,459,MADISON,MORGAN,WB,NS,20,N20,CHICAGO,Madison & Morgan
-87.70256,41.74970,2737,79TH STREET,KEDZIE,EB,NS,"79,169",,CHICAGO,79th Street & Kedzie
-87.73600,41.91699,15221,ARMITAGE,KOSTNER,EB,FS,73,,CHICAGO,Armitage & Kostner
-87.76679,41.94943,11618,CENTRAL,GRACE,NB,NS,85,,CHICAGO,Central & Grace
-87.64239,41.86965,6703,TAYLOR,JEFFERSON,EB,NS,157,,CHICAGO,Taylor & Jefferson
-87.66951,41.88137,431,MADISON,PAULINA,EB,NS,20,N20,CHICAGO,Madison & Paulina
-87.65122,41.86702,306,ROOSEVELT,MORGAN,EB,NS,12,,CHICAGO,Roosevelt & Morgan
-87.66413,41.94701,12538,ADDISON,SOUTHPORT,EB,NS,152,,CHICAGO,Addison & Southport
-87.74285,41.80205,8126,CICERO,50TH STREET,NB,NS,"47,54B",,CHICAGO,Cicero & 50th Street
-87.70447,41.82798,3130,KEDZIE,36TH STREET,NB,NS,52,,CHICAGO,Kedzie & 36th Street
-87.66736,41.68477,2866,115TH STREET,VINCENNES,WB,NS,111,,CHICAGO,115th Street & Vincennes
-87.76459,41.87660,149,JACKSON,CENTRAL,WB,NS,126,,CHICAGO,Jackson & Central
-87.66239,41.80869,8081,47TH STREET,LAFLIN,WB,NS,47,,CHICAGO,47th Street & Laflin
-87.68824,41.70644,12197,103RD STREET,TALMAN (west leg),WB,NT,103,,CHICAGO,103rd Street & Talman
-87.64428,41.94011,4996,BELMONT,BROADWAY,WB,NS,"77,151,156",,CHICAGO,Belmont & Broadway
-87.66960,41.79399,10605,GARFIELD,WOOD,WB,FS,55,N55,CHICAGO,Garfield & Wood
-87.60617,41.78046,16077,63RD STREET,COTTAGE GROVE,WB,FS,63,N63,CHICAGO,63rd Street & Cottage Grove (Green Line)
-87.64676,41.85815,6805,18TH STREET(north leg),HALSTED,WB,FS,18,,CHICAGO,18th Street & Halsted
-87.76264,41.97524,4840,FOSTER,LONG,WB,NS,92,,CHICAGO,Foster & Long
-87.75626,41.91707,3883,GRAND,LARAMIE,WB,FS,"57,65,73",,CHICAGO,Grand & Laramie
-87.70925,41.99757,12031,KEDZIE,DEVON,NB,FS,11,,CHICAGO,Kedzie & Devon
-87.66600,41.83739,4439,ARCHER,ASHLAND,NEB,NS,62,N62,CHICAGO,Archer & Ashland
-87.72486,41.85174,9053,PULASKI,CERMAK,SB,NS,53,,CHICAGO,Pulaski & Cermak
-87.72230,41.75481,12866,PULASKI,76TH STREET,SB,FS,53A,,CHICAGO,Pulaski & 76th Street
-87.76726,41.97031,9800,HIGGINS,CENTRAL/EDMUNDS,NWB,NS,88,,CHICAGO,Higgins & Central/Edmunds
-87.63205,41.80161,6520,WELLS,51ST STREET,SB,FS,24,,CHICAGO,Wells & 51st Street
-87.78782,41.98593,9943,NORTHWEST HWY,NAGLE,SEB,NS,68,,CHICAGO,Northwest Hwy & Nagle
-87.68306,41.75000,8630,79TH STREET,WESTERN,EB,NS,169,,CHICAGO,79th Street & Western
-87.62280,41.79474,10584,GARFIELD,MICHIGAN,WB,FS,55,N55,CHICAGO,Garfield & Michigan
-87.68682,41.89078,8228,WESTERN,GRAND,SB,NS,"49,X49",N49,CHICAGO,Western & Grand
-87.71185,41.90650,11158,HOMAN,HIRSCH,SB,NS,82,,CHICAGO,Homan & Hirsch
-87.70663,41.89536,3024,KEDZIE,CHICAGO,SB,FS,52,,CHICAGO,Kedzie & Chicago
